epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
69,1398.69,0.78226,1.0464,1.0086,0.44332,0.44252,0.42098,0.30926,0.77123,1.37042,1.06151,0.000481394,0.000481394,0.000481394
70,1417.34,0.80501,1.06771,1.00352,0.40117,0.49512,0.41786,0.31016,0.77456,1.34105,1.05843,0.000477165,0.000477165,0.000477165
71,1439.39,0.78888,1.05422,1.0013,0.41561,0.37092,0.38035,0.2897,0.76901,1.31947,1.05546,0.000472935,0.000472935,0.000472935
72,1460.47,0.78672,1.06682,1.00101,0.36442,0.43971,0.3968,0.29032,0.78362,1.29913,1.06708,0.000468706,0.000468706,0.000468706
73,1478.5,0.77825,1.03824,1.00206,0.42144,0.45061,0.41401,0.29872,0.78143,1.3165,1.07953,0.000464476,0.000464476,0.000464476
74,1499.79,0.783,1.08394,1.00571,0.40766,0.46038,0.40365,0.29537,0.78043,1.3768,1.07743,0.000460247,0.000460247,0.000460247
75,1517.81,0.79784,1.30488,0.99057,0.36906,0.60304,0.43715,0.31766,0.77414,1.33565,1.07292,0.000456017,0.000456017,0.000456017
76,1539.09,0.78253,1.04806,0.99884,0.4183,0.38191,0.39645,0.2792,0.78934,1.40416,1.07745,0.000451787,0.000451787,0.000451787
77,1561.3,0.79457,1.01889,0.99637,0.37447,0.59202,0.38576,0.27443,0.7652,1.33824,1.07159,0.000447558,0.000447558,0.000447558
78,1580.42,0.78029,1.05426,1.00145,0.36999,0.39387,0.37264,0.27804,0.76061,1.35293,1.06082,0.000443329,0.000443329,0.000443329
79,1603.12,0.76997,1.04015,0.99806,0.4636,0.43702,0.36917,0.27496,0.76216,1.32835,1.0567,0.000439099,0.000439099,0.000439099
80,1622.4,0.76696,1.0587,0.99523,0.51255,0.43038,0.3613,0.27713,0.75361,1.39825,1.05355,0.00043487,0.00043487,0.00043487
81,1644.5,0.78455,1.0044,0.99276,0.35678,0.43827,0.37528,0.27663,0.73126,1.45316,1.04537,0.00043064,0.00043064,0.00043064
82,1666.2,0.76057,1.01523,0.98458,0.39095,0.40586,0.39878,0.30549,0.74225,1.34895,1.04041,0.000426411,0.000426411,0.000426411
83,1685.56,0.75888,0.994,0.97533,0.34984,0.60044,0.41803,0.30828,0.7453,1.35776,1.057,0.000422181,0.000422181,0.000422181
84,1708.33,0.77508,0.98799,0.99248,0.31689,0.64978,0.38298,0.28303,0.75168,1.34055,1.05423,0.000417952,0.000417952,0.000417952
85,1730.24,0.76477,0.95552,0.981,0.39319,0.4479,0.3968,0.29474,0.74435,1.41571,1.05265,0.000413722,0.000413722,0.000413722
86,1748.32,0.73122,0.94585,0.98014,0.36491,0.44229,0.38684,0.28389,0.74325,1.43719,1.05539,0.000409493,0.000409493,0.000409493
87,1770.21,0.78096,0.99865,0.9959,0.39438,0.44813,0.41932,0.31716,0.77037,1.40697,1.07149,0.000405263,0.000405263,0.000405263
88,1787.98,0.74758,0.96978,0.98868,0.39533,0.60625,0.45326,0.34615,0.76846,1.30416,1.08306,0.000401033,0.000401033,0.000401033
89,1809.31,0.7527,0.94385,0.98317,0.39436,0.49156,0.41684,0.31048,0.7691,1.45713,1.07927,0.000396804,0.000396804,0.000396804
90,1830.44,0.75232,0.97318,0.98051,0.49747,0.51143,0.45559,0.34695,0.74991,1.3264,1.0613,0.000392574,0.000392574,0.000392574
91,1848.6,0.75741,0.98058,0.98365,0.40409,0.5685,0.43779,0.34228,0.76094,1.29156,1.06903,0.000388345,0.000388345,0.000388345
92,1870.09,0.74099,0.99652,0.99668,0.40993,0.46207,0.44298,0.33,0.7932,1.37338,1.09142,0.000384116,0.000384116,0.000384116
93,1888.23,0.73925,0.92335,0.978,0.47139,0.52784,0.45992,0.33219,0.75884,1.34462,1.06927,0.000379886,0.000379886,0.000379886
94,1910.45,0.76619,0.925,0.98149,0.3967,0.60136,0.41381,0.30706,0.76521,1.38527,1.07953,0.000375656,0.000375656,0.000375656
95,1932.24,0.74673,0.91026,0.97579,0.48453,0.51676,0.52863,0.36,0.78074,1.42183,1.07491,0.000371427,0.000371427,0.000371427
96,1950.67,0.73326,0.92667,0.97802,0.55899,0.46614,0.51234,0.39338,0.75304,1.4041,1.05654,0.000367197,0.000367197,0.000367197
